NAME,DESCRIPTION
ACETAMINOPHEN/HYDROCODONE,for moderate to severe pain-narcotic pain reliever
INSULIN,for your diabetes (high sugars)
ATORVASTATIN,for your cholesterol
AMLODIPINE,For your high blood pressure
GABAPENTIN,To prevent seizures (fits) or for nerve pain
OMEPRAZOLE,to reduce stomach acid
LISINOPRIL,For your high blood pressure
SILDENAFIL,for erections or sexual performance
PREDNISONE,"Steroids, to reduce inflammation (sometimes for COPD)"
TRAMADOL,for moderate to severe pain-narcotic pain reliever
SERTRALINE,for depression or to help you sleep better
METFORMIN,for your diabetes (high sugars)
ALBUTEROL,Short acting inhaler for asthma or COPD/emphysema to use when you get short of breath
TRAZODONE,for depression or to help you sleep better
IBUPROFEN,Pain relief-nonsteroidal or NSAID
METOPROLOL,For high blood pressure or to slow down your heart rate
FLUTICASONE,to reduce inflammation in your nose or allergies
ASPIRIN,for minor pains or to protect your heart
WARFARIN,"Blood thinner, to prevent clots"
CHOLECALCIFEROL,Vitamin D supplement
HYDROCHLOROTHIAZIDE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
COLONOSCOPY PREP KIT,to help with constipation or help you have a bowel movement
TAMSULOSIN,To reduce swelling in your prostate and help you urinate (use the bathroom)
BUPROPION,for depression or to help you sleep better
LOSARTAN,For your high blood pressure
PRAZOSIN,To reduce swelling in your prostate and help you urinate (use the bathroom)
ACETAMINOPHEN/OXYCODONE,for moderate to severe pain-narcotic pain reliever
PRAVASTATIN,for your cholesterol
QUETIAPINE,"antipsychotics, or to help stabilize your mood"
ACETAMINOPHEN,for minor pains
GLIPIZIDE,for your diabetes (high sugars)
POTASSIUM CHLORIDE,To raise your potassium levels
MELOXICAM,Pain relief-nonsteroidal or NSAID
DOCUSATE,to help with constipation or help you have a bowel movement
NAPROXEN,Pain relief-nonsteroidal or NSAID
FUROSEMIDE,Water pill (diuretic to get fluid off of your body)
MIRTAZAPINE,for depression or to help you sleep better
CITALOPRAM,for depression or to help you sleep better
NICOTINE,To help you quit smoking
LORATADINE,"For allergies, antihistamine (sometimes to help with sleep)"
MORPHINE,for moderate to severe pain-narcotic pain reliever
CYCLOBENZAPRINE,Muscle relaxer
HYDROXYZINE,"For allergies, antihistamine (sometimes to help with sleep)"
VENLAFAXINE,for depression or to help you sleep better
ERGOCALCIFEROL,Vitamin D supplement
LEVOTHYROXINE,for your thyroid gland (hypothyroidism treatment)
MENTHOL/METHYL SALICYLATE,pain relief cream to put on your skin
CYANOCOBALAMIN,Vitamin or other supplement
CARVEDILOL,For high blood pressure or to slow down your heart rate
FLUOXETINE,for depression or to help you sleep better
CETIRIZINE,"For allergies, antihistamine (sometimes to help with sleep)"
TRIAMCINOLONE,For a rash on your skin (reduce irritation or inflammation)
HYDROCHLOROTHIAZIDE/LISINOPRIL,For your high blood pressure
ZOLPIDEM,To help you sleep
FINASTERIDE,To reduce swelling in your prostate and help you urinate (use the bathroom)
ATENOLOL,For high blood pressure or to slow down your heart rate
BUDESONIDE/FORMOTEROL,Long acting inhaler for asthma or COPD/emphysema to take every day
PANTOPRAZOLE,to reduce stomach acid
MINERALS/MULTIVITAMINS,Vitamin or other supplement
OXYCODONE,for moderate to severe pain-narcotic pain reliever
METHOCARBAMOL,Muscle relaxer
ALLOPURINOL,for your gout
DULOXETINE,for depression or to help you sleep better
DICLOFENAC,Pain relief-nonsteroidal or NSAID
CLONAZEPAM,Sedative or to reduce anxiety
